Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Jul 22 2020 02:09:19 GMT-0400 (Eastern Daylight Time)

Geography,Date,Syndrome,Percent
Alabama,2020-05-23,CLI,2.9
Alabama,2020-05-24,CLI,2.6
Alabama,2020-05-25,CLI,3
Alabama,2020-05-26,CLI,3.1
Alabama,2020-05-27,CLI,3.1
Alabama,2020-05-28,CLI,3
Alabama,2020-05-29,CLI,2.9
Alabama,2020-05-30,CLI,2.7
Alabama,2020-05-31,CLI,3.1
Alabama,2020-06-01,CLI,3.3
Alabama,2020-06-02,CLI,3.5
Alabama,2020-06-03,CLI,3.7
Alabama,2020-06-04,CLI,3
Alabama,2020-06-05,CLI,2.9
Alabama,2020-06-06,CLI,2.8
Alabama,2020-06-07,CLI,3.1
Alabama,2020-06-08,CLI,3
Alabama,2020-06-09,CLI,3
Alabama,2020-06-10,CLI,2.8
Alabama,2020-06-11,CLI,2.9
Alabama,2020-06-12,CLI,2.5
Alabama,2020-06-13,CLI,3.2
Alabama,2020-06-14,CLI,3.2
Alabama,2020-06-15,CLI,3.1
Alabama,2020-06-16,CLI,3.3
Alabama,2020-06-17,CLI,3.4
Alabama,2020-06-18,CLI,3.1
Alabama,2020-06-19,CLI,3.1
Alabama,2020-06-20,CLI,3
Alabama,2020-06-21,CLI,4.5
Alabama,2020-06-22,CLI,3.7
Alabama,2020-06-23,CLI,4.1
Alabama,2020-06-24,CLI,3.8
Alabama,2020-06-25,CLI,4.5
Alabama,2020-06-26,CLI,3.9
Alabama,2020-06-27,CLI,4.3
Alabama,2020-06-28,CLI,4.8
Alabama,2020-06-29,CLI,4.9
Alabama,2020-06-30,CLI,4.7
Alabama,2020-07-01,CLI,5.7
Alabama,2020-07-02,CLI,5.7
Alabama,2020-07-03,CLI,5.9
Alabama,2020-07-04,CLI,5.4
Alabama,2020-07-05,CLI,6
Alabama,2020-07-06,CLI,5.8
Alabama,2020-07-07,CLI,5.9
Alabama,2020-07-08,CLI,5.8
Alabama,2020-07-09,CLI,5.6
Alabama,2020-07-10,CLI,6.2
Alabama,2020-07-11,CLI,5.6
Alabama,2020-07-12,CLI,5.6
Alabama,2020-07-13,CLI,6.1
Alabama,2020-07-14,CLI,5.1
Alabama,2020-07-15,CLI,4.6
Alabama,2020-07-16,CLI,4.5
Alabama,2020-07-17,CLI,4.1
Alabama,2020-07-18,CLI,3.1
Alaska,2020-05-23,CLI,1.7
Alaska,2020-05-24,CLI,2.1
Alaska,2020-05-25,CLI,1.4
Alaska,2020-05-26,CLI,2.1
Alaska,2020-05-27,CLI,2.8
Alaska,2020-05-28,CLI,0.9
Alaska,2020-05-29,CLI,1.1
Alaska,2020-05-30,CLI,0.8
Alaska,2020-05-31,CLI,1.1
Alaska,2020-06-01,CLI,0.9
Alaska,2020-06-02,CLI,2
Alaska,2020-06-03,CLI,1.3
Alaska,2020-06-04,CLI,0.2
Alaska,2020-06-05,CLI,0.8
Alaska,2020-06-06,CLI,1.1
Alaska,2020-06-07,CLI,0.5
Alaska,2020-06-08,CLI,1.1
Alaska,2020-06-09,CLI,1.3
Alaska,2020-06-10,CLI,0.9
Alaska,2020-06-11,CLI,1.3
Alaska,2020-06-12,CLI,1.4
Alaska,2020-06-13,CLI,1.4
Alaska,2020-06-14,CLI,0.9
Alaska,2020-06-15,CLI,1.2
Alaska,2020-06-16,CLI,1.4
Alaska,2020-06-17,CLI,1.5
Alaska,2020-06-18,CLI,1.9
Alaska,2020-06-19,CLI,0.6
Alaska,2020-06-20,CLI,0.6
Alaska,2020-06-21,CLI,1.2
Alaska,2020-06-22,CLI,1.2
Alaska,2020-06-23,CLI,1.5
Alaska,2020-06-24,CLI,0.9
Alaska,2020-06-25,CLI,1.6
Alaska,2020-06-26,CLI,0.6
Alaska,2020-06-27,CLI,1.6
Alaska,2020-06-28,CLI,2.5
Alaska,2020-06-29,CLI,2.4
Alaska,2020-06-30,CLI,1
Alaska,2020-07-01,CLI,2.7
Alaska,2020-07-02,CLI,2.1
Alaska,2020-07-03,CLI,1.5
Alaska,2020-07-04,CLI,1.7
Alaska,2020-07-05,CLI,2.4
Alaska,2020-07-06,CLI,2.5
Alaska,2020-07-07,CLI,2.5
Alaska,2020-07-08,CLI,2.2
Alaska,2020-07-09,CLI,2.2
Alaska,2020-07-10,CLI,1.5
Alaska,2020-07-11,CLI,2.3
Alaska,2020-07-12,CLI,1
Alaska,2020-07-13,CLI,1.5
Alaska,2020-07-14,CLI,1.4
Alaska,2020-07-15,CLI,2.5
Alaska,2020-07-16,CLI,1.8
Alaska,2020-07-17,CLI,1.9
Alaska,2020-07-18,CLI,1.7
Arizona,2020-05-23,CLI,4.5
Arizona,2020-05-24,CLI,4
Arizona,2020-05-25,CLI,4.6
Arizona,2020-05-26,CLI,3.9
Arizona,2020-05-27,CLI,4.1
Arizona,2020-05-28,CLI,4.8
Arizona,2020-05-29,CLI,3.6
Arizona,2020-05-30,CLI,4
Arizona,2020-05-31,CLI,4.6
Arizona,2020-06-01,CLI,5
Arizona,2020-06-02,CLI,5.4
Arizona,2020-06-03,CLI,5.5
Arizona,2020-06-04,CLI,5.3
Arizona,2020-06-05,CLI,5.2
Arizona,2020-06-06,CLI,6
Arizona,2020-06-07,CLI,6
Arizona,2020-06-08,CLI,6.6
Arizona,2020-06-09,CLI,7.3
Arizona,2020-06-10,CLI,8.1
Arizona,2020-06-11,CLI,7.6
Arizona,2020-06-12,CLI,8.2
Arizona,2020-06-13,CLI,8.1
Arizona,2020-06-14,CLI,7.7
Arizona,2020-06-15,CLI,9.6
Arizona,2020-06-16,CLI,8.8
Arizona,2020-06-17,CLI,9.7
Arizona,2020-06-18,CLI,11.2
Arizona,2020-06-19,CLI,11.1
Arizona,2020-06-20,CLI,11.8
Arizona,2020-06-21,CLI,11.8
Arizona,2020-06-22,CLI,12.6
Arizona,2020-06-23,CLI,13
Arizona,2020-06-24,CLI,12.9
Arizona,2020-06-25,CLI,15.3
Arizona,2020-06-26,CLI,14.2
Arizona,2020-06-27,CLI,13.7
Arizona,2020-06-28,CLI,14.6
Arizona,2020-06-29,CLI,15.4
Arizona,2020-06-30,CLI,15.7
Arizona,2020-07-01,CLI,16
Arizona,2020-07-02,CLI,15
Arizona,2020-07-03,CLI,15
Arizona,2020-07-04,CLI,15.4
Arizona,2020-07-05,CLI,16.1
Arizona,2020-07-06,CLI,16
Arizona,2020-07-07,CLI,14.9
Arizona,2020-07-08,CLI,14.2
Arizona,2020-07-09,CLI,13.2
Arizona,2020-07-10,CLI,13.1
Arizona,2020-07-11,CLI,11.8
Arizona,2020-07-12,CLI,11.4
Arizona,2020-07-13,CLI,11.2
Arizona,2020-07-14,CLI,9.6
Arizona,2020-07-15,CLI,9.7
Arizona,2020-07-16,CLI,8
Arizona,2020-07-17,CLI,8.1
Arizona,2020-07-18,CLI,6.1
Arkansas,2020-05-23,CLI,1.6
Arkansas,2020-05-24,CLI,1.3
Arkansas,2020-05-25,CLI,1.1
Arkansas,2020-05-26,CLI,0.8
